PROCESO,AMBITO,ESTADO ELECCION,SUBNIVEL ENTIDAD,CARGO,TIPO ASOCIACION,SUJETO OBLIGADO,SIGLAS,NOMBRE COMPLETO,FECHA INICIO PROCESO,FECHA FIN PROCESO,FECHA HORA APROBACION,ESTATUS CONTABILIDAD,FECHA HORA CANCELACION,TOPE DE GASTOS,DIFERENCIA POR PRORRATEO,FINANCIEROS,OPERATIVOS DE LA CAMPAÑA,PRODUCCIÓN DE LOS MENSAJES PARA RADIO Y T.V.,PROPAGANDA,"PROPAGANDA EN DIARIOS, REVISTAS Y OTROS MEDIOS IMPRESOS",PROPAGANDA EN VÍA PÚBLICA,PROPAGANDA EXHIBIDA EN PÁGINAS DE INTERNET,PROPAGANDA UTILITARIA,TOTAL GASTOS
PREFO-CAM-20/21,FEDERAL,PUEBLA,Distrito 4-AJALPAN,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,JOSE ARMANDO GARCIA AVENDAÑO,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,,84968.19,3702.89,33185.8,5800,,6447.31,123864.96,257969.15
PREFO-CAM-20/21,FEDERAL,JALISCO,Distrito 12-TLAJOMULCO DE ZUÑIGA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,ANA LAURA CHAVEZ VELARDE,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,,5049.72,3702.89,134576.73,,124468,6447.31,20668.46,294913.11
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 8-TIJUANA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,IGNACIO ANAYA BARRIGUETE,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,,99301.14,3702.89,,,,6447.31,4291.99,113743.33
PREFO-CAM-20/21,FEDERAL,COLIMA,Distrito 1-COLIMA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,RIULT RIVERA GUTIERREZ,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,,45023.6,3702.89,205600.99,,92934.88,39447.31,84698.97,471408.64
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 4-NICOLAS ROMERO,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,CONSTANCIO CRUZ RODRIGUEZ,04/04/2021,02/06/2021,05/04/2021 11:48:27 p.m.,ACTIVO,,1648189,,,29200,21146.66,151983.2,,,5309.48,174800.4,382439.74
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 37-CUAUTITLAN,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,JAIR OCTAVIO MARTINEZ FLORES,04/04/2021,02/06/2021,05/04/2021 11:33:35 p.m.,ACTIVO,,1648189,,,11500,21146.66,94592.95,,,5309.48,195939.66,328488.75
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 2-MEXICALI,DIPUTACION FEDERAL MR,C,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,VICTOR MANUEL SANCHEZ SAENZ,04/04/2021,02/06/2021,05/04/2021 11:35:13 p.m.,ACTIVO,,1648189,,,42594.44,1432.08,,3950.61,,5344.17,64853.21,118174.51
PREFO-CAM-20/21,FEDERAL,GUANAJUATO,Distrito 1-SAN LUIS DE LA PAZ,DIPUTACION FEDERAL MR,C,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,MONSERRAT BANDA ARTEAGA,04/04/2021,02/06/2021,05/04/2021 11:35:13 p.m.,ACTIVO,,1648189,,,147686.27,1432.08,54964.76,3950.61,,13660.18,210085.21,431779.11
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 13-ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,C,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,BRENDA BERENICE OSORIO MENDOZA,04/04/2021,02/06/2021,05/04/2021 11:36:23 p.m.,ACTIVO,,1648189,,,,,126666.2,,232000,,121588.46,480254.66
PREFO-CAM-20/21,FEDERAL,GUANAJUATO,Distrito 12-CELAYA,DIPUTACION FEDERAL MR,C,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,JOSE CARLOS CALLEJA LOPEZ,04/04/2021,02/06/2021,05/04/2021 11:36:23 p.m.,ACTIVO,,1648189,,,8700,1457.72,11435.91,,,,77460.88,99054.51
PREFO-CAM-20/21,FEDERAL,TAMAULIPAS,Distrito 7-CIUDAD MADERO,DIPUTACION FEDERAL MR,C,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,FERNANDO ALEJANDRO GUTIERREZ MEDINA,04/04/2021,02/06/2021,05/04/2021 11:36:23 p.m.,ACTIVO,,1648189,,,25665.62,,144718.8,,,,28324.46,198708.88
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 23-LERMA DE VILLADA,DIPUTACION FEDERAL MR,C,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,GUADALUPE TRINIDAD REYES,04/04/2021,02/06/2021,05/04/2021 11:36:23 p.m.,ACTIVO,,1648189,,,,,49532,,,49938,20968.15,120438.15
PREFO-CAM-20/21,FEDERAL,GUANAJUATO,Distrito 2-SAN MIGUEL DE ALLENDE,DIPUTACION FEDERAL MR,C,PARTIDO DEL TRABAJO,PT,FERNANDO GARCIA CHAVEZ,04/04/2021,02/06/2021,05/04/2021 11:38:42 p.m.,ACTIVO,,1648189,,365.4,101855,,25641.02,,,,97004.52,224865.94
PREFO-CAM-20/21,FEDERAL,YUCATAN,Distrito 3-MERIDA,DIPUTACION FEDERAL MR,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,GUADALUPE GONZALEZ CAAMAL,04/04/2021,02/06/2021,05/04/2021 11:39:10 p.m.,ACTIVO,,1648189,,,61257.65,,52479.22,,97491.3,104430.6,280385.2,596043.97
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 25-CHIMALHUACAN,DIPUTACION FEDERAL MR,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,YOLOTZIN MONSERRAT MANCERA MARTINEZ,04/04/2021,02/06/2021,05/04/2021 11:39:10 p.m.,ACTIVO,,1648189,,,18247.95,,25309.37,,,61549.48,282667.61,387774.41
PREFO-CAM-20/21,FEDERAL,CAMPECHE,Distrito 2-CIUDAD DEL CARMEN,DIPUTACION FEDERAL MR,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,RUBISEL DEL ANGEL ESCOBEDO CASTILLO,04/04/2021,02/06/2021,05/04/2021 11:39:10 p.m.,ACTIVO,,1648189,,,77124.32,,25309.37,,,116034,280385.2,498852.89
PREFO-CAM-20/21,FEDERAL,TLAXCALA,Distrito 3-ZACATELCO,DIPUTACION FEDERAL MR,C,MORENA,MORENA,CARLOS AUGUSTO PEREZ HERNANDEZ,04/04/2021,02/06/2021,05/04/2021 11:40:05 p.m.,ACTIVO,,1648189,,,29164,,,,,,,29164
PREFO-CAM-20/21,FEDERAL,NAYARIT,Distrito 3-COMPOSTELA,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,CRISTIAN DE JESUS VAZQUEZ GUZMAN,04/04/2021,02/06/2021,05/04/2021 11:40:36 p.m.,ACTIVO,,1648189,,,53039.26,,3374.13,,,,4815.81,61229.2
PREFO-CAM-20/21,FEDERAL,VERACRUZ,Distrito 2-TANTOYUCA,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,SOLEDAD RAMIREZ MARTINEZ,04/04/2021,02/06/2021,05/04/2021 11:40:36 p.m.,ACTIVO,,1648189,,,53039.26,,3374.13,,,,4815.81,61229.2
PREFO-CAM-20/21,FEDERAL,MORELOS,Distrito 1-CUERNAVACA,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,VIANEY NAJERA VAZQUEZ,04/04/2021,02/06/2021,05/04/2021 11:40:36 p.m.,ACTIVO,,1648189,,,53039.26,,3374.13,,,,4815.81,61229.2
PREFO-CAM-20/21,FEDERAL,CIUDAD DE MEXICO,Distrito 18-IZTAPALAPA,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,MOISES LUIS CAMPOS NERIA,04/04/2021,02/06/2021,05/04/2021 11:40:36 p.m.,ACTIVO,,1648189,,,53530.92,,3374.13,,,,4815.81,61720.86
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 19-TLALNEPANTLA DE BAZ,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,CRHYSTOPHER DANIEL VILLANUEVA VAZQUEZ,04/04/2021,02/06/2021,05/04/2021 11:40:36 p.m.,ACTIVO,,1648189,,,53039.26,,3374.13,,,,4815.81,61229.2
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 25-CHIMALHUACAN,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,JESUS GUSTAVO EMILIO RANGEL,04/04/2021,02/06/2021,05/04/2021 11:40:36 p.m.,ACTIVO,,1648189,,,53039.26,,3374.13,,,,4815.81,61229.2
PREFO-CAM-20/21,FEDERAL,CIUDAD DE MEXICO,Distrito 22-IZTAPALAPA,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,GUSTAVO ESTRADA HERNANDEZ,04/04/2021,02/06/2021,05/04/2021 11:40:36 p.m.,ACTIVO,,1648189,,,53530.92,,3374.13,,,,4815.81,61720.86
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA SUR,Distrito 2-SAN JOSE DEL CABO,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,SUHEIDI YADIRA DIAZ PANTALEON,04/04/2021,02/06/2021,05/04/2021 11:41:54 p.m.,ACTIVO,,1648189,,,3430.95,551.05,,,,5558.11,,9540.11
PREFO-CAM-20/21,FEDERAL,HIDALGO,Distrito 2-IXMIQUILPAN,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,SILVIANA GUERRERO TREJO,04/04/2021,02/06/2021,05/04/2021 11:41:54 p.m.,ACTIVO,,1648189,,,3430.95,551.05,,,,5558.11,,9540.11
PREFO-CAM-20/21,FEDERAL,QUINTANA ROO,Distrito 4-CANCUN,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,IRIS JAQUELINE AVILA CALDERON,04/04/2021,02/06/2021,05/04/2021 11:41:54 p.m.,ACTIVO,,1648189,,,3430.95,551.05,,,,5558.11,,9540.11
PREFO-CAM-20/21,FEDERAL,TABASCO,Distrito 5-PARAISO,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,ALBERTO SANTOS MORALES,04/04/2021,02/06/2021,05/04/2021 11:41:54 p.m.,ACTIVO,,1648189,,,6312.01,551.05,,,,5558.11,,12421.17
PREFO-CAM-20/21,FEDERAL,JALISCO,Distrito 19-CIUDAD GUZMAN,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,CUITLAHUAC FERNANDO SANTILLAN OCAMPO,04/04/2021,02/06/2021,05/04/2021 11:41:54 p.m.,ACTIVO,,1648189,,,3430.95,551.05,,,14406.9,5558.11,,23947.01
PREFO-CAM-20/21,FEDERAL,COAHUILA,Distrito 1-PIEDRAS NEGRAS,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,BLANCA LUCIA ESTRADA MENDOZA,04/04/2021,02/06/2021,05/04/2021 11:41:54 p.m.,ACTIVO,,1648189,,,3780.95,551.05,,,,5558.11,,9890.11
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 37-CUAUTITLAN,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,BRENDA VAZQUEZ LOZA,04/04/2021,02/06/2021,05/04/2021 11:41:54 p.m.,ACTIVO,,1648189,,,3430.95,551.05,,,14406.9,5558.11,,23947.01
PREFO-CAM-20/21,FEDERAL,OAXACA,Distrito 3-HEROICA CIUDAD DE HUAJUAPAN DE LEON,DIPUTACION FEDERAL MR,C,FUERZA POR MÉXICO,FS X MÉXICO,ARCELIA RODRIGUEZ CARREÑO,04/04/2021,02/06/2021,05/04/2021 11:43:35 p.m.,ACTIVO,,1648189,,,,,26494.88,,,,85446.4,111941.28
PREFO-CAM-20/21,FEDERAL,YUCATAN,Distrito 3-MERIDA,DIPUTACION FEDERAL MR,C,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,PABLO GAMBOA MINER,04/04/2021,02/06/2021,06/04/2021 12:15:57 a.m.,ACTIVO,,1648189,,,94116.81,1432.08,54856.4,3950.61,116000,12024.14,107628.21,390008.25
PREFO-CAM-20/21,FEDERAL,YUCATAN,Distrito 2-PROGRESO,DIPUTACION FEDERAL MR,C,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,MARIA ESTER ALONZO MORALES,04/04/2021,02/06/2021,06/04/2021 12:15:57 a.m.,ACTIVO,,1648189,,,74695.99,1432.08,46520,3950.61,209124.8,24992.93,134853.21,495569.62
PREFO-CAM-20/21,FEDERAL,YUCATAN,Distrito 1-VALLADOLID,DIPUTACION FEDERAL MR,C,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,SANSON ISRAEL PALMA SANTOS,04/04/2021,02/06/2021,06/04/2021 12:15:57 a.m.,ACTIVO,,1648189,,,108253.29,1432.08,66953.92,3950.61,86214.12,25688.52,134117.21,426609.75
PREFO-CAM-20/21,FEDERAL,YUCATAN,Distrito 4-MERIDA,DIPUTACION FEDERAL MR,C,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,ANA GABRIELA CEJUDO VALENCIA,04/04/2021,02/06/2021,06/04/2021 12:15:57 a.m.,ACTIVO,,1648189,,,79533.32,1432.08,8546.88,3950.61,332305.88,69603.99,90014.77,585387.53
PREFO-CAM-20/21,FEDERAL,AGUASCALIENTES,Distrito 3-AGUASCALIENTES,DIPUTACION FEDERAL MR,C,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,LUIS FRANCISCO GERARDO PONCE MORAN,04/04/2021,02/06/2021,06/04/2021 12:15:57 a.m.,ACTIVO,,1648189,,,107207.61,1432.08,51530.11,3950.61,69600.75,15870.97,64853.21,314445.34
PREFO-CAM-20/21,FEDERAL,COAHUILA,Distrito 3-MONCLOVA,DIPUTACION FEDERAL MR,C,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,CRISTINA AMEZCUA GONZALEZ,04/04/2021,02/06/2021,06/04/2021 12:15:57 a.m.,ACTIVO,,1648189,,,77894.45,1432.08,62540.94,3950.61,126644.71,3888.3,242399.19,518750.28
PREFO-CAM-20/21,FEDERAL,AGUASCALIENTES,Distrito 2-AGUASCALIENTES,DIPUTACION FEDERAL MR,C,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,ROBERTO LAMAS DE ALBA,04/04/2021,02/06/2021,06/04/2021 12:15:57 a.m.,ACTIVO,,1648189,,,91138.55,1432.08,4060,3950.61,303363.2,24652.53,70053.49,498650.46
PREFO-CAM-20/21,FEDERAL,COAHUILA,Distrito 4-SALTILLO,DIPUTACION FEDERAL MR,C,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,YERICO ABRAMO MASSO,04/04/2021,02/06/2021,06/04/2021 12:15:57 a.m.,ACTIVO,,1648189,,,78074.44,1432.08,205100.24,3950.61,187024.96,33888.3,248555.19,758025.82
PREFO-CAM-20/21,FEDERAL,COAHUILA,Distrito 1-PIEDRAS NEGRAS,DIPUTACION FEDERAL MR,C,PARTIDO REVOLUCIONARIO INSTITUCIONAL,PRI,MARCOS VILLAREAL SUDAY,04/04/2021,02/06/2021,06/04/2021 12:15:57 a.m.,ACTIVO,,1648189,,,91524.64,1432.08,144952.48,3950.61,66433.88,11042.74,270969.99,590306.42
PREFO-CAM-20/21,FEDERAL,CIUDAD DE MEXICO,Distrito 3-AZCAPOTZALCO,DIPUTACION FEDERAL MR,C,PARTIDO ENCUENTRO SOLIDARIO,PES,DAVID DANIEL RAZO URIBE,04/04/2021,02/06/2021,06/04/2021 12:44:28 a.m.,ACTIVO,,1648189,,,68530.92,,3374.13,,,,4815.81,76720.86
PREFO-CAM-20/21,FEDERAL,CIUDAD DE MEXICO,Distrito 3-AZCAPOTZALCO,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,WENDY GONZALEZ URRUTIA,04/04/2021,02/06/2021,06/04/2021 12:44:28 a.m.,ACTIVO,,1648189,,,63833.33,3702.89,285360,,38970.2,13987.31,29000,434853.73
PREFO-CAM-20/21,FEDERAL,CIUDAD DE MEXICO,Distrito 3-AZCAPOTZALCO,DIPUTACION FEDERAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,FABIANA AVILA ALCOCER,04/04/2021,02/06/2021,06/04/2021 12:44:28 a.m.,ACTIVO,,1648189,,,10131.99,551.05,13803.39,,14406.9,5558.11,,44451.44
PREFO-CAM-20/21,FEDERAL,CIUDAD DE MEXICO,Distrito 3-AZCAPOTZALCO,DIPUTACION FEDERAL MR,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,JUSTO MONTESINOS LOPEZ,04/04/2021,02/06/2021,06/04/2021 12:44:28 a.m.,ACTIVO,,1648189,,348,227.35,1039.09,80157.82,,,16666.66,56568.86,155007.78
PREFO-CAM-20/21,FEDERAL,CIUDAD DE MEXICO,Distrito 3-AZCAPOTZALCO,DIPUTACION FEDERAL MR,COA,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,GABRIELA GEORGINA JIMENEZ GODOY,04/04/2021,02/06/2021,06/04/2021 12:44:28 a.m.,ACTIVO,,1648189,,,57785.78,,7308,18270,,44599.21,4176,132138.99
PREFO-CAM-20/21,FEDERAL,CIUDAD DE MEXICO,Distrito 3-AZCAPOTZALCO,DIPUTACION FEDERAL MR,C,FUERZA POR MÉXICO,FS X MÉXICO,ANGELICA PEREZ ARCE GONZALEZ,04/04/2021,02/06/2021,06/04/2021 12:44:28 a.m.,ACTIVO,,1648189,,,,,26494.88,,,,85446.4,111941.28
PREFO-CAM-20/21,FEDERAL,QUERETARO,Distrito 5-EL PUEBLITO,DIPUTACION FEDERAL MR,C,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,LETICIA REAL MEDINA,04/04/2021,02/06/2021,10/04/2021 12:31:03 a.m.,ACTIVO,,1648189,,,,1457.72,25300,,,,30915.15,57672.87
PREFO-CAM-20/21,FEDERAL,QUERETARO,Distrito 2-SAN JUAN DEL RIO,DIPUTACION FEDERAL MR,C,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,YLSSE LORENA PONCE HERNANDEZ,04/04/2021,02/06/2021,06/04/2021 12:48:50 a.m.,ACTIVO,,1648189,,,,1457.72,34976,1856,,,27928.15,66217.87
PREFO-CAM-20/21,FEDERAL,QUERETARO,Distrito 3-SANTIAGO DE QUERETARO,DIPUTACION FEDERAL MR,C,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,SANDRA EDITH LOPEZ OJEDA,04/04/2021,02/06/2021,06/04/2021 12:52:41 a.m.,ACTIVO,,1648189,,,10540.4,1457.72,12082,,,,40161.15,64241.27
PREFO-CAM-20/21,FEDERAL,QUERETARO,Distrito 4-SANTIAGO DE QUERETARO,DIPUTACION FEDERAL MR,C,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,HUMBERTO GERARDO RUIZ LOPEZ,04/04/2021,02/06/2021,06/04/2021 12:52:41 a.m.,ACTIVO,,1648189,,,18000,1457.72,19811,,,,14593,53861.72
PREFO-CAM-20/21,FEDERAL,QUERETARO,Distrito 1-CADEREYTA DE MONTES,DIPUTACION FEDERAL MR,C,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,JOCELYN HERNANDEZ DOMINGUEZ,04/04/2021,02/06/2021,06/04/2021 12:52:41 a.m.,ACTIVO,,1648189,,,,1457.72,,,,,,1457.72
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 11-ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,C,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,ELISEO MENDOZA MOHEDANO,04/04/2021,02/06/2021,06/04/2021 12:52:41 a.m.,ACTIVO,,1648189,,,7500,,99999.54,,,,20668.46,128168
PREFO-CAM-20/21,FEDERAL,GUERRERO,Distrito 2-IGUALA,DIPUTACION FEDERAL MR,C,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PRD,LAZARO MAZON ALONSO,04/04/2021,02/06/2021,06/04/2021 12:55:22 a.m.,ACTIVO,,1648189,,,17484,1005.32,64601.68,,,,36280.16,119371.16
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 2-MEXICALI,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,MARIA TERESA BABUN VILLARREAL,04/04/2021,02/06/2021,05/04/2021 11:48:27 p.m.,ACTIVO,,1648189,,,31200,21146.66,182390.34,,232560,5309.48,115007.75,587614.23
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 5-TEOTIHUACAN DE ARISTA,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,ANEL MARTINEZ PEREZ,04/04/2021,02/06/2021,05/04/2021 11:48:27 p.m.,ACTIVO,,1648189,,,40768,21146.66,169550.24,,,5309.48,185078,421852.38
PREFO-CAM-20/21,FEDERAL,NUEVO LEON,Distrito 10-MONTERREY,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,CARMINA CANTU TREVIÑO,04/04/2021,02/06/2021,05/04/2021 11:48:27 p.m.,ACTIVO,,1648189,,,13440,21146.66,51620,,211569.07,5309.48,70818,373903.21
PREFO-CAM-20/21,FEDERAL,YUCATAN,Distrito 5-TICUL,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,YESENIA DEL CARMEN POLANCO ROSS,04/04/2021,02/06/2021,05/04/2021 11:48:27 p.m.,ACTIVO,,1648189,,,,24626.66,85753,,151380,28509.48,32259.6,322528.74
PREFO-CAM-20/21,FEDERAL,NUEVO LEON,Distrito 11-GUADALUPE,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,PEDRO GARZA TREVIÑO,04/04/2021,02/06/2021,05/04/2021 11:48:27 p.m.,ACTIVO,,1648189,,,11340,21146.66,74657.6,,,49853.48,143793.6,300791.34
PREFO-CAM-20/21,FEDERAL,NUEVO LEON,Distrito 12-BENITO JUAREZ,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,MIGUEL ANGEL LOZANO MUNGUIA,04/04/2021,02/06/2021,05/04/2021 11:48:27 p.m.,ACTIVO,,1648189,,,0,21146.66,56405,,,5309.48,56884.85,139745.99
